1,46.98
2,54.84
3,60.52
4,63.5
5,65.9
6,68.46
7,69.26
8,70.1
9,70.7
10,71.56
11,72.44
12,73.86
13,74.8
14,74.8
15,75.98
16,76.0
17,77.06
18,77.8
19,75.48
20,78.48
21,77.4
22,78.66
23,77.86
24,78.98
25,79.52
26,79.98
27,80.4
28,79.34
29,79.98
30,79.22
31,79.54
32,79.9
33,80.28
34,81.28
35,80.5
36,81.52
37,81.52
38,81.24
39,82.16
40,81.86
41,82.22
42,82.34
43,82.12
44,82.32
45,82.36
46,82.52
47,81.76
48,81.72
49,82.74
50,82.74
51,81.62
52,82.42
53,82.98
54,83.2
55,83.24
56,83.34
57,83.2
58,83.66
59,82.84
60,83.24
61,83.94
62,83.32
63,82.44
64,84.06
65,83.24
66,83.14
67,82.94
68,83.56
69,83.94
70,84.0
71,84.46
72,83.88
73,84.6
74,82.64
75,83.76
76,83.94
77,80.54
78,84.34
79,84.0
80,82.94
81,84.0
82,84.28
83,84.42
84,83.6
85,84.48
86,83.62
87,84.08
88,84.08
89,85.1
90,84.46
91,83.96
92,84.88
93,84.04
94,84.12
95,84.46
96,85.0
97,84.5
98,84.74
99,84.86
100,84.68
